模型名称,评分端,指标,均值,标准差,置信区间下限,置信区间上限,有效样本数,有效用户ID数
deepseek_v4_flash,用户端,被理解感,1.887967,0.562639,1.817408,1.954733,241,238
deepseek_v4_flash,用户端,情绪缓解感,1.825726,0.527101,1.760331,1.892562,241,238
deepseek_v4_flash,用户端,个性化贴合度,1.863071,0.557081,1.790984,1.933333,241,238
deepseek_v4_flash,用户端,交流舒适度,1.842324,0.605559,1.764209,1.920502,241,238
deepseek_v4_flash,用户端,主观平均分,1.854772,0.485378,1.792708,1.919087,241,238
deepseek_v4_flash,评估端,识别层评分,1.315789,0.863366,1.208142,1.425101,247,244
deepseek_v4_flash,评估端,理解层评分,1.234818,0.787041,1.136546,1.331984,247,244
deepseek_v4_flash,评估端,行动层评分,1.744939,0.536971,1.676227,1.808163,247,244
deepseek_v4_flash,评估端,评估端平均分,1.431849,0.564465,1.362903,1.501381,247,244
deepseek_v4_pro,用户端,被理解感,1.862385,0.588247,1.799985,1.92638,327,321
deepseek_v4_pro,用户端,情绪缓解感,1.868502,0.563037,1.806647,1.929448,327,321
deepseek_v4_pro,用户端,个性化贴合度,1.954128,0.627371,1.887195,2.02454,327,321
deepseek_v4_pro,用户端,交流舒适度,2.067278,0.618031,2.0,2.135385,327,321
deepseek_v4_pro,用户端,主观平均分,1.938073,0.525598,1.879999,1.993866,327,321
deepseek_v4_pro,评估端,识别层评分,1.191358,0.927956,1.089231,1.29321,324,318
deepseek_v4_pro,评估端,理解层评分,1.299383,0.790736,1.21118,1.382274,324,318
deepseek_v4_pro,评估端,行动层评分,1.817901,0.492219,1.763077,1.868098,324,318
deepseek_v4_pro,评估端,评估端平均分,1.436214,0.580362,1.371279,1.498971,324,318
doubao-seed-2-0-lite-260428,用户端,被理解感,1.517572,0.543473,1.457143,1.578778,313,308
doubao-seed-2-0-lite-260428,用户端,情绪缓解感,1.635783,0.60574,1.571429,1.705128,313,308
doubao-seed-2-0-lite-260428,用户端,个性化贴合度,1.766773,0.645434,1.694534,1.838108,313,308
doubao-seed-2-0-lite-260428,用户端,交流舒适度,1.779553,0.678869,1.703822,1.853035,313,308
doubao-seed-2-0-lite-260428,用户端,主观平均分,1.67492,0.542979,1.613852,1.73889,313,308
doubao-seed-2-0-lite-260428,评估端,识别层评分,1.376206,0.851912,1.278846,1.469865,311,306
doubao-seed-2-0-lite-260428,评估端,理解层评分,1.106109,0.651297,1.035481,1.17835,311,306
doubao-seed-2-0-lite-260428,评估端,行动层评分,1.881029,0.361886,1.839228,1.919361,311,306
doubao-seed-2-0-lite-260428,评估端,评估端平均分,1.454448,0.466798,1.402597,1.508039,311,306
doubao-seed-2-0-mini-260428,用户端,被理解感,1.334395,0.492398,1.28254,1.387302,314,309
doubao-seed-2-0-mini-260428,用户端,情绪缓解感,1.372611,0.522358,1.316294,1.429936,314,309
doubao-seed-2-0-mini-260428,用户端,个性化贴合度,1.44586,0.516747,1.388013,1.503185,314,309
doubao-seed-2-0-mini-260428,用户端,交流舒适度,1.519108,0.554924,1.458333,1.579618,314,309
doubao-seed-2-0-mini-260428,用户端,主观平均分,1.417994,0.452896,1.367788,1.468059,314,309
doubao-seed-2-0-mini-260428,评估端,识别层评分,1.443366,0.818335,1.352751,1.534202,309,304
doubao-seed-2-0-mini-260428,评估端,理解层评分,0.970874,0.675974,0.896774,1.045161,309,304
doubao-seed-2-0-mini-260428,评估端,行动层评分,1.770227,0.479062,1.716129,1.821429,309,304
doubao-seed-2-0-mini-260428,评估端,评估端平均分,1.394822,0.470825,1.343042,1.448426,309,304
doubao-seed-character-260628,用户端,被理解感,1.503311,0.51792,1.45733,1.548464,453,442
doubao-seed-character-260628,用户端,情绪缓解感,1.474614,0.53414,1.424444,1.525389,453,442
doubao-seed-character-260628,用户端,个性化贴合度,1.567329,0.534633,1.519737,1.616408,453,442
doubao-seed-character-260628,用户端,交流舒适度,1.772627,0.559671,1.722219,1.823789,453,442
doubao-seed-character-260628,用户端,主观平均分,1.57947,0.450882,1.538717,1.619207,453,442
doubao-seed-character-260628,评估端,识别层评分,1.26,0.893655,1.174888,1.343702,450,439
doubao-seed-character-260628,评估端,理解层评分,1.011111,0.645258,0.951217,1.069672,450,439
doubao-seed-character-260628,评估端,行动层评分,1.68,0.58168,1.625277,1.732892,450,439
doubao-seed-character-260628,评估端,评估端平均分,1.317037,0.548766,1.265012,1.3685,450,439
glm-4-plus,用户端,被理解感,1.159664,0.367843,1.1,1.226891,119,118
glm-4-plus,用户端,情绪缓解感,1.243697,0.431128,1.168067,1.322034,119,118
glm-4-plus,用户端,个性化贴合度,1.193277,0.437197,1.117647,1.271186,119,118
glm-4-plus,用户端,交流舒适度,1.310924,0.499964,1.225,1.40678,119,118
