模型名称,ID,标准化ID,sample_pick_order,烦恼类别,主观平均分,客观平均分
deepseek_v4_flash,57457126001,57457126001,1,对身体健康的担忧,1.0,1.3333333333333333
deepseek_v4_flash,75376243001,75376243001,2,无明显生活烦恼,2.0,1.0
deepseek_v4_flash,324078110002,324078110002,3,无法适应新事物或自我价值感下降,2.0,1.6666666666666667
deepseek_v4_flash,175531118001,175531118001,4,无明显生活烦恼,2.5,0.6666666666666666
deepseek_v4_flash,14643113001,14643113001,5,孤独/人际交往缺失,2.5,1.6666666666666667
deepseek_v4_flash,111154127001,111154127001,6,对身体健康的担忧,2.0,1.6666666666666667
deepseek_v4_flash,338231328001,338231328001,7,无明显生活烦恼,2.25,0.6666666666666666
deepseek_v4_flash,51606117001,51606117001,8,对身体健康的担忧,1.0,2.0
deepseek_v4_flash,324045114001,324045114001,9,孤独/人际交往缺失,2.5,2.0
deepseek_v4_flash,18206219002,18206219002,10,无明显生活烦恼,2.0,1.0
deepseek_v4_flash,64604125002,64604125002,11,对身体健康的担忧,1.0,1.3333333333333333
deepseek_v4_flash,161159310001,161159310001,12,无明显生活烦恼,1.5,1.0
deepseek_v4_flash,281104130001,281104130001,13,无明显生活烦恼,1.25,0.6666666666666666
deepseek_v4_flash,134902123001,134902123001,14,孤独/人际交往缺失,2.0,1.6666666666666667
deepseek_v4_flash,122490220001,122490220001,15,家庭关系或陪伴困扰,2.0,2.0
deepseek_v4_flash,56302330002,56302330002,16,无法适应新事物或自我价值感下降,1.25,1.6666666666666667
deepseek_v4_flash,291676308001,291676308001,17,孤独/人际交往缺失,2.0,1.6666666666666667
deepseek_v4_flash,75504213002,75504213002,18,无明显生活烦恼,2.0,1.3333333333333333
deepseek_v4_flash,184037213001,184037213001,19,家庭关系或陪伴困扰,2.0,2.0
deepseek_v4_flash,154058307002,154058307002,20,对身体健康的担忧,2.75,2.0
deepseek_v4_flash,207406312001,207406312001,21,家庭关系或陪伴困扰,1.75,2.0
deepseek_v4_flash,154044202001,154044202001,22,无明显生活烦恼,1.5,1.0
deepseek_v4_flash,266059222001,266059222001,23,无明显生活烦恼,2.0,1.3333333333333333
deepseek_v4_flash,30476124001,30476124001,24,孤独/人际交往缺失,1.5,2.0
deepseek_v4_flash,135559225002,135559225002,25,家庭关系或陪伴困扰,1.5,1.0
deepseek_v4_flash,211176334001,211176334001,26,家庭关系或陪伴困扰,2.0,1.6666666666666667
deepseek_v4_flash,14031307002,14031307002,27,对身体健康的担忧,2.5,2.0
deepseek_v4_flash,280154309002,280154309002,28,对身体健康的担忧,2.0,2.0
deepseek_v4_flash,200104317001,200104317001,29,对身体健康的担忧,2.0,1.0
deepseek_v4_flash,34043224002,34043224002,30,对身体健康的担忧,2.0,1.6666666666666667
deepseek_v4_flash,105102322002,105102322002,31,对身体健康的担忧,1.75,1.0
deepseek_v4_flash,105102306002,105102306002,32,无明显生活烦恼,2.0,0.3333333333333333
deepseek_v4_flash,134902216001,134902216001,33,对身体健康的担忧,2.0,1.3333333333333333
deepseek_v4_flash,211176105002,211176105002,34,家庭关系或陪伴困扰,1.25,1.0
deepseek_v4_flash,241116202002,241116202002,35,对身体健康的担忧,1.25,0.6666666666666666
deepseek_v4_flash,64028317002,64028317002,36,家庭关系或陪伴困扰,2.0,1.3333333333333333
deepseek_v4_flash,64028314002,64028314002,37,家庭关系或陪伴困扰,2.0,1.6666666666666667
deepseek_v4_flash,266306205002,266306205002,38,无明显生活烦恼,1.0,1.0
deepseek_v4_flash,57633243002,57633243002,39,家庭关系或陪伴困扰,1.5,1.6666666666666667
deepseek_v4_flash,202454131002,202454131002,40,家庭关系或陪伴困扰,1.0,1.0
deepseek_v4_flash,153859115002,153859115002,41,无明显生活烦恼,2.0,0.6666666666666666
deepseek_v4_flash,64028310001,64028310001,42,无明显生活烦恼,1.0,1.3333333333333333
deepseek_v4_flash,158278201002,158278201002,43,对身体健康的担忧,2.0,1.6666666666666667
deepseek_v4_flash,150478205001,150478205001,44,家庭关系或陪伴困扰,2.25,1.6666666666666667
deepseek_v4_flash,281104122003,281104122003,45,对身体健康的担忧,1.75,1.6666666666666667
deepseek_v4_flash,110131321002,110131321002,46,无明显生活烦恼,1.5,1.0
deepseek_v4_flash,298245106002,298245106002,47,孤独/人际交往缺失,2.0,1.6666666666666667
deepseek_v4_flash,266059305001,266059305001,48,家庭关系或陪伴困扰,2.0,1.3333333333333333
deepseek_v4_flash,54054110001,54054110001,49,无明显生活烦恼,2.5,1.3333333333333333
deepseek_v4_flash,338231202001,338231202001,50,无明显生活烦恼,2.0,1.3333333333333333
deepseek_v4_flash,10206118001,10206118001,51,对身体健康的担忧,2.0,1.3333333333333333
deepseek_v4_flash,244676309001,244676309001,52,无法适应新事物或自我价值感下降,2.75,2.0
deepseek_v4_flash,10233105002,10233105002,53,对身体健康的担忧,2.25,2.0
deepseek_v4_flash,320146222002,320146222002,54,家庭关系或陪伴困扰,2.0,1.6666666666666667
deepseek_v4_flash,280154108002,280154108002,55,无明显生活烦恼,2.0,0.6666666666666666
deepseek_v4_flash,294099132002,294099132002,56,无明显生活烦恼,1.5,1.3333333333333333
deepseek_v4_flash,151156320002,151156320002,57,对身体健康的担忧,2.0,1.6666666666666667
deepseek_v4_flash,296081302001,296081302001,58,对身体健康的担忧,2.25,1.6666666666666667
deepseek_v4_flash,65546103002,65546103002,59,对身体健康的担忧,2.0,2.0
deepseek_v4_flash,154058321002,154058321002,60,对身体健康的担忧,2.0,1.6666666666666667
deepseek_v4_flash,14051113002,14051113002,61,家庭关系或陪伴困扰,1.25,1.6666666666666667
deepseek_v4_flash,75504205002,75504205002,62,家庭关系或陪伴困扰,2.0,2.0
deepseek_v4_flash,154628117001,154628117001,63,无明显生活烦恼,2.0,2.0
deepseek_v4_flash,162431111003,162431111003,64,无明显生活烦恼,1.75,1.6666666666666667
