列名,含义,分类规则,加权统计
ba001,访员记录性别,按原始编码：1=男；2=女,男47.5%，女52.5%
xrage,年龄,分档：45–59 岁；60–69 岁；70 岁及以上（CHARLS 主样本为 45+）,45–59岁43.3%，60–69岁33.2%，70岁及以上22.4%
ba007,现居住地地址类型,1→「住家庭住房」为一类；2/3/4→「住养老院/医院/其他」为一类,家庭住房81.4%，机构或其他18.6%
ba008,城乡类型,1→「城/镇中心」为一类；2/3/4→「城乡结合部/镇乡/农村/特殊地区」为一类,城/镇中心33.1%，城乡结合部等66.9%
ba010,目前最高学历（不含成人教育）,先与 zredu 互补合成 edu=ba010.fillna(zredu)；再分类：1–2→「低学历」；3–7→「中学历」；8–11→「高学历」（997/999/缺失不纳入统计）,低学历38.4%，中学历58.3%，高学历3.4%
ba011,婚姻状况,按原始编码：1=已婚且配偶同住；2=已婚暂分居；3=分居；4=离婚；5=丧偶；6=未婚（997/999/缺失不纳入统计）,已婚且配偶同住77.5%，已婚暂分居6.8%，分居0.4%，离婚1.4%，丧偶13.4%，未婚0.5%
dc026,生活满意度,按原始编码：1–5（分数越高满意度越低；997/999/缺失不纳入统计）,非常满意4.7%，很满意29.8%，有点满意54.8%，不太满意8.0%，完全不满意2.6%
dc024,感到孤独（过去一周）,按原始编码：1=几乎没有；2=少量；3=有时/中等；4=大多数时候（997/999/缺失不纳入统计）,几乎不孤独72.3%，少量7.9%，有时11.7%，经常8.1%
da001,自评健康状况,按原始编码：1–5（1=很好 … 5=很差；997=不知道，不纳入统计）,很好11.7%，好13.9%，一般50.7%，差17.6%，很差6.1%
da038_s9,上月是否以上都没有,多选题编码：0=否（有其他活动）；9=是（以上活动都没有）,有其他活动50.5%，以上都没有49.5%
da040,是否使用互联网,按原始编码：1=是；2=否,使用互联网45.0%，不使用55.0%
xchildnum,子女总数,按原始数值（0–10 人）,0个1.3%，1个23.0%，2个37.9%，3个及以上37.8%
fh001,是否已办理退休,按原始编码：1=是；2=否,已退休4.6%，未退休95.4%
ff003,上月是否在找工作,按原始编码：1=是；2=否,在找工作2.1%，未找97.9%
