模型名称,ID,标准化ID,sample_pick_order,烦恼类别,被理解感,情绪缓解感,个性化贴合度,交流舒适度,识别层评分,理解层评分,行动层评分,主观平均分,客观平均分
deepseek_v4_flash,75376243001,75376243001,2,无明显生活烦恼,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0
deepseek_v4_flash,175531118001,175531118001,4,无明显生活烦恼,2.0,2.0,3.0,3.0,0.0,0.0,2.0,2.5,0.6666666666666666
deepseek_v4_flash,338231328001,338231328001,7,无明显生活烦恼,2.0,2.0,2.0,3.0,0.0,0.0,2.0,2.25,0.6666666666666666
deepseek_v4_flash,18206219002,18206219002,10,无明显生活烦恼,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0
deepseek_v4_flash,161159310001,161159310001,12,无明显生活烦恼,1.0,2.0,1.0,2.0,0.0,1.0,2.0,1.5,1.0
deepseek_v4_flash,281104130001,281104130001,13,无明显生活烦恼,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.25,0.6666666666666666
deepseek_v4_flash,75504213002,75504213002,18,无明显生活烦恼,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.3333333333333333
deepseek_v4_flash,154044202001,154044202001,22,无明显生活烦恼,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.5,1.0
deepseek_v4_flash,266059222001,266059222001,23,无明显生活烦恼,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.3333333333333333
deepseek_v4_flash,105102306002,105102306002,32,无明显生活烦恼,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.3333333333333333
deepseek_v4_flash,266306205002,266306205002,38,无明显生活烦恼,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0
deepseek_v4_flash,153859115002,153859115002,41,无明显生活烦恼,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,0.6666666666666666
deepseek_v4_flash,64028310001,64028310001,42,无明显生活烦恼,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.3333333333333333
deepseek_v4_flash,110131321002,110131321002,46,无明显生活烦恼,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.5,1.0
deepseek_v4_flash,54054110001,54054110001,49,无明显生活烦恼,2.0,2.0,3.0,3.0,2.0,0.0,2.0,2.5,1.3333333333333333
deepseek_v4_flash,338231202001,338231202001,50,无明显生活烦恼,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.3333333333333333
deepseek_v4_flash,280154108002,280154108002,55,无明显生活烦恼,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.6666666666666666
deepseek_v4_flash,294099132002,294099132002,56,无明显生活烦恼,1.0,2.0,1.0,2.0,2.0,0.0,2.0,1.5,1.3333333333333333
deepseek_v4_flash,154628117001,154628117001,63,无明显生活烦恼,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,162431111003,162431111003,64,无明显生活烦恼,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.75,1.6666666666666667
deepseek_v4_flash,205304214001,205304214001,67,无明显生活烦恼,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.75,1.3333333333333333
deepseek_v4_flash,204028208001,204028208001,68,无明显生活烦恼,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0
deepseek_v4_flash,30476203001,30476203001,70,无明显生活烦恼,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
deepseek_v4_flash,184037219001,184037219001,82,无明显生活烦恼,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.3333333333333333
deepseek_v4_flash,150478210001,150478210001,84,无明显生活烦恼,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,0.6666666666666666
deepseek_v4_flash,134004112002,134004112002,93,无明显生活烦恼,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.3333333333333333
deepseek_v4_flash,64028102001,64028102001,96,无明显生活烦恼,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.3333333333333333
deepseek_v4_flash,281116308001,281116308001,97,无明显生活烦恼,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.25,2.0
deepseek_v4_flash,275559318001,275559318001,98,无明显生活烦恼,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.6666666666666667
deepseek_v4_flash,64033129001,64033129001,102,无明显生活烦恼,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.5,0.6666666666666666
deepseek_v4_flash,54054108002,54054108002,107,无明显生活烦恼,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0
deepseek_v4_flash,65546218001,65546218001,111,无明显生活烦恼,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.25,1.6666666666666667
deepseek_v4_flash,138202135001,138202135001,112,无明显生活烦恼,3.0,2.0,3.0,3.0,0.0,0.0,2.0,2.75,0.6666666666666666
deepseek_v4_flash,74057123001,74057123001,114,无明显生活烦恼,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.5,1.0
deepseek_v4_flash,241116304002,241116304002,117,无明显生活烦恼,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0
deepseek_v4_flash,142403341002,142403341002,118,无明显生活烦恼,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.3333333333333333
deepseek_v4_flash,294099231003,294099231003,122,无明显生活烦恼,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,0.6666666666666666
