模型名称,烦恼类别,对话数量,唯一ID数,主观有效N,主观平均分,主观标准差,客观有效N,客观平均分,客观标准差,主观相对模型总体偏差,客观相对模型总体偏差
deepseek_v4_flash,无明显生活烦恼,88,88,85,1.897059,0.45854,88,1.0,0.510428,0.015948,-0.436681
deepseek_v4_flash,孤独/人际交往缺失,25,25,25,2.06,0.34821,25,1.893333,0.185592,0.178889,0.456652
deepseek_v4_flash,对身体健康的担忧,59,57,58,1.741379,0.527668,59,1.553672,0.465722,-0.139732,0.116991
deepseek_v4_flash,家庭关系或陪伴困扰,49,48,49,1.923469,0.424522,49,1.782313,0.300855,0.042358,0.345632
deepseek_v4_flash,无法适应新事物或自我价值感下降,8,8,8,1.90625,0.480652,8,1.833333,0.178174,0.025139,0.396652
deepseek_v4_pro,无明显生活烦恼,125,123,124,1.971774,0.529812,122,0.939891,0.492397,0.034274,-0.492286
deepseek_v4_pro,孤独/人际交往缺失,33,33,33,1.901515,0.491885,33,1.878788,0.233008,-0.035985,0.446611
deepseek_v4_pro,对身体健康的担忧,87,85,87,1.948276,0.536648,87,1.639847,0.482828,0.010776,0.20767
deepseek_v4_pro,家庭关系或陪伴困扰,63,62,63,1.888889,0.530858,62,1.774194,0.288038,-0.048611,0.342017
deepseek_v4_pro,无法适应新事物或自我价值感下降,13,12,13,1.865385,0.53634,13,1.897436,0.210142,-0.072115,0.465259
doubao-seed-2-0-lite-260428,无明显生活烦恼,121,120,121,1.599174,0.511818,121,1.052342,0.396765,-0.075747,-0.402106
doubao-seed-2-0-lite-260428,孤独/人际交往缺失,32,32,32,1.609375,0.523394,32,1.729167,0.19743,-0.065545,0.274719
doubao-seed-2-0-lite-260428,对身体健康的担忧,85,83,85,1.814706,0.587763,84,1.742063,0.294306,0.139786,0.287615
doubao-seed-2-0-lite-260428,家庭关系或陪伴困扰,62,61,62,1.625,0.521564,61,1.655738,0.327545,-0.04992,0.20129
doubao-seed-2-0-lite-260428,无法适应新事物或自我价值感下降,13,12,13,1.865385,0.526539,13,1.717949,0.356063,0.190464,0.263501
doubao-seed-2-0-mini-260428,无明显生活烦恼,121,120,121,1.307851,0.398905,120,1.147222,0.469013,-0.110142,-0.2476
doubao-seed-2-0-mini-260428,孤独/人际交往缺失,32,32,32,1.414062,0.442725,31,1.731183,0.200358,-0.003931,0.336361
doubao-seed-2-0-mini-260428,对身体健康的担忧,85,83,85,1.520588,0.479043,84,1.515873,0.446329,0.102595,0.121051
doubao-seed-2-0-mini-260428,家庭关系或陪伴困扰,63,62,63,1.496032,0.474112,61,1.508197,0.387807,0.078038,0.113375
doubao-seed-2-0-mini-260428,无法适应新事物或自我价值感下降,13,12,13,1.403846,0.505578,13,1.564103,0.41688,-0.014147,0.169281
doubao-seed-character-260628,无明显生活烦恼,170,168,170,1.548529,0.461776,168,0.871032,0.478306,-0.030941,-0.446005
doubao-seed-character-260628,孤独/人际交往缺失,53,51,53,1.622642,0.409099,53,1.710692,0.285233,0.043171,0.393655
doubao-seed-character-260628,对身体健康的担忧,118,114,118,1.552966,0.441989,118,1.556497,0.413576,-0.026504,0.23946
doubao-seed-character-260628,家庭关系或陪伴困扰,92,90,92,1.665761,0.445177,91,1.549451,0.401767,0.086291,0.232414
doubao-seed-character-260628,无法适应新事物或自我价值感下降,20,19,20,1.4875,0.516026,20,1.55,0.449496,-0.09197,0.232963
glm-4-plus,无明显生活烦恼,36,36,36,1.159722,0.311407,36,0.592593,0.478829,-0.067169,-0.569872
glm-4-plus,孤独/人际交往缺失,10,10,10,1.15,0.337474,9,1.444444,0.166667,-0.076891,0.281979
glm-4-plus,对身体健康的担忧,36,36,36,1.215278,0.37394,36,1.37963,0.498587,-0.011613,0.217165
glm-4-plus,家庭关系或陪伴困扰,33,32,32,1.320312,0.431774,33,1.393939,0.367561,0.093422,0.231474
glm-4-plus,无法适应新事物或自我价值感下降,5,5,5,1.35,0.48734,5,1.666667,0.235702,0.123109,0.504202
glm-5-2-260617,无明显生活烦恼,72,72,72,1.822917,0.528147,68,0.495098,0.510236,-0.052083,-0.739136
glm-5-2-260617,孤独/人际交往缺失,21,21,21,2.083333,0.560877,20,1.983333,0.074536,0.208333,0.749099
glm-5-2-260617,对身体健康的担忧,47,46,47,1.835106,0.588099,47,1.319149,0.501001,-0.039894,0.084915
glm-5-2-260617,家庭关系或陪伴困扰,43,42,43,1.866279,0.498058,43,1.837209,0.245295,-0.008721,0.602975
glm-5-2-260617,无法适应新事物或自我价值感下降,7,7,7,2.107143,0.690066,7,2.0,0.0,0.232143,0.765766
moonshot-v1-8k,无明显生活烦恼,79,79,78,1.060897,0.181023,79,0.514768,0.500135,-0.031445,-0.420375
moonshot-v1-8k,孤独/人际交往缺失,23,23,23,1.065217,0.187952,23,1.405797,0.199912,-0.027125,0.470654
moonshot-v1-8k,对身体健康的担忧,62,61,62,1.157258,0.290681,60,1.044444,0.431642,0.064916,0.109301
moonshot-v1-8k,家庭关系或陪伴困扰,51,50,50,1.085,0.234793,51,1.222222,0.255314,-0.007342,0.287079
moonshot-v1-8k,无法适应新事物或自我价值感下降,9,9,9,1.027778,0.083333,8,1.083333,0.496016,-0.064565,0.14819
