列名,含义,简单释义,互补列,后续利用,来源数据集
died,是否已去世,0=健在；1=已去世,—,分析访谈/健康等内容时保留 died=0,Sample_Infor.dta
crosssection,是否2020截面刷新样本（是否有全国推断权重）,0=否（无 Weights）；1=是（有 Weights，共17364人）,INDV_weight_ad2,与 Weights 表一一对应；全国推断分析保留 crosssection=1,Sample_Infor.dta
INDV_weight_ad2,个体权重（含户与个人应答调整）,数值（代表权）,crosssection,与 crosssection=1 配套；加权比例=该人权重/有权重者权重之和；个人层面全国推断优先用此列,Weights.dta
proxy_2,人口学模块是否代答,1=是；2=否,—,构建用户画像或对话样本时剔除代答（proxy_2=1）,Demographic_Background.dta
proxy_5,健康模块是否代答,1=是；2=否,—,构建用户画像或对话样本时剔除代答（proxy_5=1）；与人口学 proxy_2 分别筛查,Health_Status_and_Functioning.dta
ba001,访员记录性别,1=男；2=女,—,单独使用,Demographic_Background.dta
xrage,年龄,数值（岁）,—,单独使用；作年龄协变量或分层,Demographic_Background.dta
ba007,现居住地地址类型,1=家庭住房；2=养老院；3=医院；4=其他,—,为 ba006 跳题衍生：仅现居地≠访谈地址时询问；缺失多表示住访谈家庭，默认非养老院/医院；2 或 3 标为机构居住特征,Demographic_Background.dta
ba008,城乡类型,1=城/镇中心；2=城乡结合部/镇乡；3=农村；4=特殊地区,—,单独使用,Demographic_Background.dta
ba010,目前最高学历（不含成人教育）,1=未受教育；2=未读完小学；3=私塾；4=小学；5=初中；6=高中；7=职高；8=大专；9=本科；10=硕士；11=博士,zredu,与 zredu 互斥互补；生成 edu=ba010.fillna(zredu),Demographic_Background.dta
zredu,教育程度（跨期整理）,1–11 档同 ba010,ba010,与 ba010 互斥互补；生成 edu=ba010.fillna(zredu),Demographic_Background.dta
ba011,婚姻状况,1=已婚且配偶同住；2=已婚暂分居；3=分居；4=离婚；5=丧偶；6=未婚,—,单独使用,Demographic_Background.dta
ba012,是否有人以配偶身份同住,1=是；2=否,—,跳题变量，非全样本有值,Demographic_Background.dta
ba013,过去一年与配偶同住月数,0–12,—,跳题变量，主要对有配偶者有意义,Demographic_Background.dta
ba018,上半年独自居住天数,0–182,—,单独使用,Demographic_Background.dta
ba019,上半年仅与配偶同住天数,0–182,—,单独使用,Demographic_Background.dta
ba020,上半年因不与别人同住而受影响程度,0–100,—,单独使用,Demographic_Background.dta
dc026,生活满意度,1=非常满意；2=很满意；3=有点满意；4=不太满意；5=完全不满意,—,单独使用；分数越高满意度越低,Health_Status_and_Functioning.dta
dc027,对子女满意度,1=非常满意；2=很满意；3=有点满意；4=不太满意；5=完全不满意；6=无子女,—,单独使用；6=无子女时不适用；分数越高满意度越低,Health_Status_and_Functioning.dta
dc016,因小事烦恼（过去一周）,1=几乎没有（<1天）；2=少量（1–2天）；3=有时/中等（3–4天）；4=大多数时候（5–7天）；997=不知道；999=拒答,—,单独使用；为 CES-D 负向题，分数越高=烦恼越频繁,Health_Status_and_Functioning.dta
dc018,感到抑郁（过去一周）,同上 1–4 频次编码；997=不知道；999=拒答,—,单独使用；为 CES-D 负向题，分数越高=抑郁情绪越频繁,Health_Status_and_Functioning.dta
dc020,对未来抱有希望（过去一周）,同上 1–4 频次编码；997=不知道；999=拒答,—,单独使用；为 CES-D 正向题，分数越高=越常有希望；若计抑郁总分需反向计分,Health_Status_and_Functioning.dta
dc024,感到孤独（过去一周）,同上 1–4 频次编码；997=不知道；999=拒答,—,单独使用；为 CES-D 负向题，分数越高=越孤独,Health_Status_and_Functioning.dta
dc023,感到高兴（过去一周）,同上 1–4 频次编码；997=不知道；999=拒答,—,单独使用；为 CES-D 正向题，分数越高=越常高兴；若计抑郁总分需反向计分,Health_Status_and_Functioning.dta
dc022,睡眠不安（过去一周）,同上 1–4 频次编码；997=不知道；999=拒答,—,单独使用；为 CES-D 负向题，分数越高=睡眠越差,Health_Status_and_Functioning.dta
da001,自评健康状况,1=很好；2=好；3=一般；4=差；5=很差；997=不知道,—,单独使用,Health_Status_and_Functioning.dta
da003_1_,医生诊断：高血压,1=是；2=否,—,单独使用；慢性病[1],Health_Status_and_Functioning.dta
da003_2_,医生诊断：血脂异常,1=是；2=否,—,单独使用；慢性病[2],Health_Status_and_Functioning.dta
da003_3_,医生诊断：糖尿病或高血糖,1=是；2=否,—,单独使用；慢性病[3],Health_Status_and_Functioning.dta
da003_4_,医生诊断：癌症等恶性肿瘤,1=是；2=否,—,单独使用；慢性病[4],Health_Status_and_Functioning.dta
da003_5_,医生诊断：慢性肺部疾病,1=是；2=否,—,单独使用；慢性病[5],Health_Status_and_Functioning.dta
da003_6_,医生诊断：肝脏疾病,1=是；2=否,—,单独使用；慢性病[6],Health_Status_and_Functioning.dta
da003_7_,医生诊断：心脏病,1=是；2=否,—,单独使用；慢性病[7],Health_Status_and_Functioning.dta
da003_8_,医生诊断：中风,1=是；2=否,—,单独使用；慢性病[8],Health_Status_and_Functioning.dta
da003_9_,医生诊断：肾脏疾病,1=是；2=否,—,单独使用；慢性病[9],Health_Status_and_Functioning.dta
da003_10_,医生诊断：胃部或其他消化系统疾病,1=是；2=否,—,单独使用；慢性病[10],Health_Status_and_Functioning.dta
da003_11_,医生诊断：情绪/神经/精神类问题,1=是；2=否,—,单独使用；慢性病[11],Health_Status_and_Functioning.dta
da003_12_,医生诊断：关节炎或风湿病,1=是；2=否,—,单独使用；慢性病[12],Health_Status_and_Functioning.dta
da003_13_,医生诊断：哮喘,1=是；2=否,—,单独使用；慢性病[13],Health_Status_and_Functioning.dta
da003_14_,医生诊断：记忆相关疾病,1=是；2=否,—,单独使用；慢性病[14],Health_Status_and_Functioning.dta
da003_15_,医生诊断：白内障或其他视力问题,1=是；2=否,—,单独使用；慢性病[15],Health_Status_and_Functioning.dta
