模型名称,ID,标准化ID,sample_pick_order,主观平均分,评估端平均分,被理解感,情绪缓解感,个性化贴合度,交流舒适度,识别层评分,理解层评分,行动层评分
deepseek_v4_flash,57457126001,57457126001,1,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,2.0
deepseek_v4_flash,75376243001,75376243001,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0
deepseek_v4_flash,324078110002,324078110002,3,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,175531118001,175531118001,4,2.5,0.6666666666666666,2.0,2.0,3.0,3.0,0.0,0.0,2.0
deepseek_v4_flash,14643113001,14643113001,5,2.5,1.6666666666666667,2.0,2.0,3.0,3.0,2.0,1.0,2.0
deepseek_v4_flash,111154127001,111154127001,6,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_flash,338231328001,338231328001,7,2.25,0.6666666666666666,2.0,2.0,2.0,3.0,0.0,0.0,2.0
deepseek_v4_flash,51606117001,51606117001,8,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
deepseek_v4_flash,324045114001,324045114001,9,2.5,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
deepseek_v4_flash,18206219002,18206219002,10,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0
deepseek_v4_flash,64604125002,64604125002,11,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,0.0,2.0,2.0
deepseek_v4_flash,161159310001,161159310001,12,1.5,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0
deepseek_v4_flash,281104130001,281104130001,13,1.25,0.6666666666666666,1.0,1.0,1.0,2.0,0.0,1.0,1.0
deepseek_v4_flash,134902123001,134902123001,14,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,122490220001,122490220001,15,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,56302330002,56302330002,16,1.25,1.6666666666666667,1.0,1.0,1.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,291676308001,291676308001,17,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,75504213002,75504213002,18,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,1.0,1.0,2.0
deepseek_v4_flash,184037213001,184037213001,19,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,154058307002,154058307002,20,2.75,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
deepseek_v4_flash,207406312001,207406312001,21,1.75,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
deepseek_v4_flash,154044202001,154044202001,22,1.5,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0
deepseek_v4_flash,266059222001,266059222001,23,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,0.0,2.0,2.0
deepseek_v4_flash,30476124001,30476124001,24,1.5,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
deepseek_v4_flash,135559225002,135559225002,25,1.5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
deepseek_v4_flash,211176334001,211176334001,26,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_flash,14031307002,14031307002,27,2.5,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,280154309002,280154309002,28,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,200104317001,200104317001,29,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
deepseek_v4_flash,34043224002,34043224002,30,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_flash,105102322002,105102322002,31,1.75,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0
deepseek_v4_flash,105102306002,105102306002,32,2.0,0.3333333333333333,2.0,2.0,2.0,2.0,0.0,0.0,1.0
deepseek_v4_flash,134902216001,134902216001,33,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,1.0,1.0,2.0
deepseek_v4_flash,211176105002,211176105002,34,1.25,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
deepseek_v4_flash,241116202002,241116202002,35,1.25,0.6666666666666666,1.0,1.0,2.0,1.0,0.0,1.0,1.0
deepseek_v4_flash,64028317002,64028317002,36,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,1.0,1.0,2.0
deepseek_v4_flash,64028314002,64028314002,37,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,266306205002,266306205002,38,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0
deepseek_v4_flash,57633243002,57633243002,39,1.5,1.6666666666666667,2.0,2.0,1.0,1.0,1.0,2.0,2.0
deepseek_v4_flash,202454131002,202454131002,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
deepseek_v4_flash,153859115002,153859115002,41,2.0,0.6666666666666666,2.0,2.0,2.0,2.0,0.0,1.0,1.0
deepseek_v4_flash,64028310001,64028310001,42,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,2.0,0.0,2.0
deepseek_v4_flash,158278201002,158278201002,43,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,150478205001,150478205001,44,2.25,1.6666666666666667,2.0,2.0,2.0,3.0,2.0,1.0,2.0
deepseek_v4_flash,281104122003,281104122003,45,1.75,1.6666666666666667,2.0,2.0,2.0,1.0,2.0,2.0,1.0
deepseek_v4_flash,110131321002,110131321002,46,1.5,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0
deepseek_v4_flash,298245106002,298245106002,47,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,266059305001,266059305001,48,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,1.0,1.0,2.0
deepseek_v4_flash,54054110001,54054110001,49,2.5,1.3333333333333333,2.0,2.0,3.0,3.0,2.0,0.0,2.0
deepseek_v4_flash,338231202001,338231202001,50,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,2.0,0.0,2.0
deepseek_v4_flash,10206118001,10206118001,51,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,1.0,1.0,2.0
deepseek_v4_flash,244676309001,244676309001,52,2.75,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,10233105002,10233105002,53,2.25,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,320146222002,320146222002,54,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_flash,280154108002,280154108002,55,2.0,0.6666666666666666,2.0,2.0,2.0,2.0,0.0,0.0,2.0
deepseek_v4_flash,294099132002,294099132002,56,1.5,1.3333333333333333,1.0,2.0,1.0,2.0,2.0,0.0,2.0
deepseek_v4_flash,151156320002,151156320002,57,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,2.0,1.0
deepseek_v4_flash,296081302001,296081302001,58,2.25,1.6666666666666667,2.0,2.0,2.0,3.0,2.0,1.0,2.0
deepseek_v4_flash,65546103002,65546103002,59,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,154058321002,154058321002,60,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_flash,14051113002,14051113002,61,1.25,1.6666666666666667,2.0,1.0,1.0,1.0,2.0,2.0,1.0
deepseek_v4_flash,75504205002,75504205002,62,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,154628117001,154628117001,63,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,162431111003,162431111003,64,1.75,1.6666666666666667,2.0,2.0,2.0,1.0,2.0,1.0,2.0
deepseek_v4_flash,320146132002,320146132002,65,2.5,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,104004221001,104004221001,66,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,1.0,1.0,2.0
deepseek_v4_flash,205304214001,205304214001,67,1.75,1.3333333333333333,2.0,1.0,2.0,2.0,2.0,0.0,2.0
deepseek_v4_flash,204028208001,204028208001,68,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0
