模型名称,ID,聚类ID,sample_pick_order,被理解感,情绪缓解感,个性化贴合度,交流舒适度,识别层评分,理解层评分,行动层评分,主观评分均值
deepseek_v4_flash,57457126001,57457126001,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
deepseek_v4_flash,75376243001,75376243001,2,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0
deepseek_v4_flash,324078110002,324078110002,3,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_flash,175531118001,175531118001,4,2.0,2.0,3.0,3.0,0.0,0.0,2.0,2.5
deepseek_v4_flash,14643113001,14643113001,5,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.5
deepseek_v4_flash,111154127001,111154127001,6,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
deepseek_v4_flash,338231328001,338231328001,7,2.0,2.0,2.0,3.0,0.0,0.0,2.0,2.25
deepseek_v4_flash,51606117001,51606117001,8,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
deepseek_v4_flash,324045114001,324045114001,9,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.5
deepseek_v4_flash,18206219002,18206219002,10,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0
deepseek_v4_flash,64604125002,64604125002,11,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0
deepseek_v4_flash,161159310001,161159310001,12,1.0,2.0,1.0,2.0,0.0,1.0,2.0,1.5
deepseek_v4_flash,281104130001,281104130001,13,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.25
deepseek_v4_flash,134902123001,134902123001,14,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_flash,122490220001,122490220001,15,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,56302330002,56302330002,16,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.25
deepseek_v4_pro,57457126001,57457126001,1,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.75
deepseek_v4_pro,75376243001,75376243001,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
